Superpixel,Sigma
0,6.3552320483215965
1,6.869587587354033
2,6.0665113856635
3,11.641358094641086
4,13.332607610668937
5,10.57696311906012
6,7.46537974765958
7,9.369261205039008
8,5.069398620873202
9,11.549724659812915
10,12.637993204272298
11,9.43184800494466
12,9.090434534699357
13,15.459572266070637
14,9.80315104865261
15,9.39717769572088
16,6.950567884687086
17,11.264085892957219
18,15.062310198925472
19,4.156077990566586
20,8.657818438176639
21,7.695789644112129
22,11.127336607917485
23,8.230103817533639
24,11.727049418395277
25,5.82584639768174
26,7.174383180984094
27,8.529811669995683
28,7.527372336457829
29,9.487644039553281
30,6.474028544337881
31,5.6126629076608205
32,9.174964483140682
33,5.065992572615176
34,3.0135941639963755
35,8.743668980317182
36,6.436567729182499
37,4.634378633018962
38,9.192763769460688
39,4.617391054166872
40,3.6108718520704204
41,10.27081988482889
42,5.89338305158807
43,5.037046878104866
44,9.936245558001579
45,9.87997186823388
46,4.957886160849143
47,3.727058391760476
48,2.7577825084588787
49,3.5315149696731987
50,2.7095889466152046
51,2.6775343094005652
52,8.403688475549133
53,4.517698822633707
54,4.413215955486215
55,4.930781377635182
56,8.36579266767272
57,7.0898006702515275
58,5.514376594702962
59,5.92345889033902
60,9.205082984329678
61,8.084181207084372
62,5.734430459214082
63,6.293754061437565
64,5.68152587094929
65,6.252155099749427
66,5.489706933892751
67,6.5111709227205266
68,8.550719899020022
69,6.332758682335588
70,8.022920716560856
71,6.649671610010238
72,7.361926084340528
73,7.500485049604392
74,8.910818256563507
75,7.451538058266954
76,7.716183271222242
77,5.282799607254652
78,7.0809884440527595
79,6.815356689707088
80,8.242380369964588
81,7.834942820483389
82,6.944588826857969
83,4.053138929161748
84,5.04833117346251
85,7.147373622499426
86,6.19525025211919
87,4.484970365118486
88,5.694651077603282
