Superpixel,Sigma
0,0.8463781875076801
1,0.7368658571663415
2,0.8129759096919015
3,0.6968903104140322
4,0.6072570052685805
5,0.7843059895162557
6,0.6626763251303215
7,0.9795309748308165
8,0.6478267631282878
9,0.6954843918387166
10,1.159609292589633
11,0.6298682584219114
12,0.6113951518013455
13,0.851328041508362
14,5.470140629786665
15,5.83667436909932
16,5.927597036871787
17,5.909219154980502
18,4.927730712905016
19,5.083139369853611
20,6.57445287414579
21,4.232623035813176
22,6.158144820491663
23,6.46378906834478
24,5.863922755163533
25,5.493330478511294
26,6.705685140979377
27,5.545306803359876
28,5.3051137548542835
29,5.189107764769614
30,5.008217739542874
31,2.9038643372945123
32,2.3344661931472075
33,5.042670552406119
34,0.5680931659841816
35,3.382902793704526
36,8.75356868831855
37,8.942220404696604
38,5.5442349370933925
39,0.9552963067416379
40,0.786523615559493
41,11.603281737159287
42,5.41011122391599
43,6.987020827233047
44,1.0302975462455748
45,0.3910441817365166
46,6.288623657831502
47,6.3841194648577515
48,4.303703625144871
49,3.309264810337862
50,8.79849408907153
51,3.6181189413075026
52,6.269853445657218
53,5.16865014400243
54,22.12236908273489
55,25.440844165237422
56,11.741904696080217
57,4.819109699224767
58,0.8366959758668445
59,1.074708345084337
60,2.7280037752616297
61,3.926559410775129
62,1.008498000560141
63,1.1505212920561974
64,4.675165887239184
65,0.932090842480891
66,7.051448538435054
67,0.8113524947560591
68,1.2486483866276945
69,4.015083902898959
70,2.221388596161471
71,1.2677157043556557
72,23.168842500364633
73,6.70657645764048
74,11.000836698724044
75,0.7534184432973872
76,12.621685161403704
77,31.866180161353512
78,4.3282780612257845
79,2.435319799993236
80,3.9160654916663815
81,0.8554661880411261
82,0.7658328828956708
83,2.389567076236227
84,1.7064971239958
85,7.06659520599078
86,0.47845986083872977
87,0.9398525336322049
88,5.458660169287515
89,1.9872968771162214
90,8.388701026379765
91,10.106736888848852
92,2.9681541613291653
93,1.6053406959131624
94,0.736054149698424
95,1.5934408582290904
96,0.7804649485371984
97,1.2280372631570637
98,4.117349144003231
99,16.983917049114627
100,8.755032884868017
101,6.348478229779704
102,19.73411270034468
103,0.6505589910857306
104,4.526552578199456e-16
105,6.34403202247651e-17
106,1.8418675373621534
107,6.32972934882444
108,0.8378047888884675
109,8.296749154778867
110,0.7925822825817755
111,8.230095596726284e-17
112,2.4582921523573567
113,6.184002903516679
114,9.270402012192774
115,0.8196287878215736
116,2.433839987907662
117,0.9406642411001199
118,11.62343653668985
119,22.928915326340515
120,19.718408768436692
121,20.387838912108904
122,2.160939813105888
123,0.9983011870050879
124,1.2950593151491714
125,10.296503133931429
126,2.9755391377335982
127,1.8932283198843158
128,1.6673332847113975
129,0.5835369390936206
130,4.526076056111431
131,4.516807505972607
132,1.5096487237454028
133,1.4265499034325558e-15
134,4.90601077641277
135,0.9831545194493595
136,0.7760296964507359
137,1.6201902579151939
138,5.833528479639874
139,1.2415605157769607
140,0.673981951706997
141,8.130432917219492
142,5.9142912806123915
143,5.866447386613673
144,6.181074510417727
145,1.618704730146689
146,6.26736004527931
147,4.1339017301342835
148,5.27761092567442
149,6.98502069755034
150,5.895324903296622
151,6.912592467617498
152,5.682555074777704
153,12.057724426269365
154,7.297577982331703
155,5.536690742302603
156,5.9129649712302665
157,6.893445540696334
158,5.415814507410431
159,8.840984367420766
160,5.825353126986542
161,5.863604318390817
162,2.6105122574084607
163,0.5570846449612117
164,6.072570052685797
165,5.456442543244285
166,4.05911798699086
167,2.042121985870562
168,1.9210069233988534
169,0.5537582058963709
170,2.057862864533703
171,2.3054778361988495
172,2.2570085000204987
173,0.5071297810143728
174,0.5289293266997904
175,0.6215919653563883
176,0.98810437345004
177,0.7161751245025273
178,0.5907044191375285
179,0.7834942820483373
180,0.5680931659841878
181,0.7945028030713105
182,0.6397679664232762
