Superpixel,Sigma
0,0.4053791418243329
1,5.88813609203369
2,1.226631344581736
3,1.452229274200958
4,0.59595137869191
5,0.43848431408642924
6,0.6238095913996267
7,0.9470200136761165
8,2.2368323692709033
9,1.325649755814337
10,0.5989807122030445
11,0.5658755399409562
12,1.7574015825778948
13,5.002376568881092
14,3.515556594649549
15,3.338666828788231
16,6.242298054186107
17,1.1452743325018178
18,0.5846457521152283
19,1.800783177588227
20,3.5140127889068946
21,0.60503937922535
22,1.0909638256616894
23,3.0475906529195687
24,1.361863870780765
25,1.8528177804109598
26,4.5358748237005875
27,1.4759493403759094
28,1.3592695299906523
29,2.2761554269416595
30,1.6463454464938947
31,2.217786382761955
32,1.0600762794428251
33,1.014853773136145
34,3.8734956041239634
35,1.2189492626236147
36,0.817925763692569
37,0.5394232458085528
38,0.5394232458085556
39,0.5763694590497135
40,1.6249226155553462
41,0.7429245241886325
42,1.9259567773995265
43,2.832725469988653
44,1.8104071112549072
45,0.7956116160929243
46,0.9078561743917232
47,1.4216388335357852
48,1.5561975394342273
49,0.44151364759757433
50,0.5145943666119762
51,0.4649366082188331
52,0.7451421502318626
53,1.3651107006524328
54,0.4980417804809247
55,1.6612746176891076
56,9.319407281504368
57,0.37892684769192925
58,9.455923454647468
59,0.455036900217477
60,1.1957437983628774
61,1.1615298130791674
62,1.471514088289447
63,9.792360023990156
64,2.2403180267221146
65,2.4659742343154742
66,2.665634471716489
67,1.3441228624349222
68,0.9983011870050866
69,0.35409796849535585
70,0.35298915547374204
71,0.21621282353206728
72,9.620340502936344
73,1.363704782077118
74,1.6772329927127647
75,11.690299370295607
76,1.4196387038530738
77,0.9419905504822553
78,0.6185626318452503
79,0.8284196828013234
80,9.359955708145053
81,8.527477488004138
82,1.6475338687086876
83,1.2434810362664972
84,9.127625291202966
85,1.4745434218005962
86,1.6582452841779627
87,2.213409408649643
88,2.223091620290493
89,1.2823477699971841
90,1.689429935950531
91,2.7929460883778425
92,1.4439529811354188
93,1.8989102721597166
