Superpixel,Sigma
0,0.4053791418243345
1,5.88813609203369
2,1.226631344581736
3,1.452229274200958
4,0.59595137869191
5,0.43848431408642924
6,0.6238095913996267
7,0.9470200136761165
8,2.3567590095278343
9,1.325649755814337
10,0.5989807122030445
11,0.5658755399409562
12,1.7574015825778948
13,5.002376568881092
14,3.515556594649549
15,3.338666828788231
16,6.242298054186107
17,1.1452743325018178
18,0.5846457521152283
19,1.800783177588227
20,3.5140127889068946
21,0.60503937922535
22,1.0909638256616894
23,3.0475906529195687
24,1.361863870780765
25,1.8528177804109598
26,4.5358748237005875
27,1.4653175340998192
28,1.3578636114153415
29,2.2822140939639532
30,1.6463454464938947
31,2.217786382761955
32,1.0600762794428251
33,1.014853773136142
34,3.8734956041239634
35,1.2189492626236147
36,0.8234698288006456
37,0.5496200593636028
38,0.5394232458085432
39,0.5752606460280982
40,1.6309812825776333
41,0.7512008172541615
42,1.9227099475278597
43,2.832725469988653
44,1.8189591786551074
45,0.8024819905831376
46,0.8932241087502044
47,1.4384089160273519
48,1.5848674596098646
49,0.4610955672397665
50,0.4980417804809289
51,0.4649366082188326
52,0.5289293266997969
53,1.3651107006524328
54,0.40759676786756066
55,1.6612746176891076
56,3.208898758504118
57,0.5465907258524624
58,3.6388892831645
59,0.36540359507202114
60,1.1957437983628774
61,1.1615298130791674
62,1.4961837490996632
63,4.7937662181139755
64,2.177057406515886
65,2.4089314995179065
66,2.665634471716489
67,1.407006767894264
68,0.9983011870050866
69,0.35409796849535996
70,0.3458216754298367
71,0.21621282353206728
72,4.0183307327706395
73,1.3601608466517534
74,1.6879444081820367
75,7.365151582993172
76,1.4081155809158794
77,0.9381495095031921
78,3.7114554002646845
79,0.6185626318452503
80,0.8295284958229413
81,2.1825218624307765
82,3.1593206093041455
83,1.252271931246235
84,3.288255640901332
85,1.4764639422901331
86,2.026381107207443
87,1.1353746245004563
88,2.1786808214517195
89,1.2111875714723126
90,1.689429935950531
91,2.21827965345714
92,1.4577733393090353
93,2.3032602101556168
